SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftColors	rightColors	TOA	Mask	SOA	Blocked
3	22-May-16	19	blue	a	1	0.5407	A	B	b	r	2000	1	6	1
3	22-May-16	20	blue	k	1	0.6212	C	B	b	r	2000	1	6	1
3	22-May-16	21	blue	k	1	0.4852	C	A	b	r	2000	1	6	1
3	22-May-16	22	blue	l	1	0.6058	A	D	r	b	2000	1	6	1
3	22-May-16	23	blue	s	1	0.5352	B	C	b	r	2000	1	6	1
3	22-May-16	24	blue	k	0	0.5108	B	A	b	r	2000	1	6	1
3	22-May-16	25	blue	s	1	0.6464	A	B	r	b	2000	1	6	1
3	22-May-16	26	blue	l	1	0.5431	D	B	b	r	2000	1	6	1
3	22-May-16	27	blue	l	1	0.6298	A	D	r	b	2000	1	6	1
3	22-May-16	28	blue	s	0	0.6306	D	C	r	b	2000	1	6	1
3	22-May-16	29	blue	k	1	0.7025	C	B	b	r	2000	1	6	1
3	22-May-16	30	blue	s	1	0.7438	D	B	r	b	2000	1	6	1
3	22-May-16	31	blue	k	1	0.7904	A	C	r	b	2000	1	6	1
3	22-May-16	32	blue	l	1	0.7035	C	D	r	b	2000	1	6	1
3	22-May-16	1	Red	s	1	0.8342	A	B	b	r	2000	1	6	1
3	22-May-16	2	Red	l	1	0.5779	D	A	r	b	2000	1	6	1
3	22-May-16	3	Red	k	1	0.8273	C	D	r	b	2000	1	6	1
3	22-May-16	4	Red	a	1	0.4907	A	C	r	b	2000	1	6	1
3	22-May-16	5	Red	s	1	0.5223	D	B	b	r	2000	1	6	1
3	22-May-16	6	Red	s	1	0.6276	A	B	b	r	2000	1	6	1
3	22-May-16	7	Red	a	1	0.5947	C	A	b	r	2000	1	6	1
3	22-May-16	8	Red	l	1	0.4285	A	D	b	r	2000	1	6	1
3	22-May-16	9	Red	k	1	0.6046	C	A	r	b	2000	1	6	1
3	22-May-16	10	Red	l	1	0.5408	C	D	b	r	2000	1	6	1
3	22-May-16	11	Red	l	1	0.6513	D	B	r	b	2000	1	6	1
3	22-May-16	12	Red	l	1	0.6278	A	D	b	r	2000	1	6	1
3	22-May-16	13	Red	a	1	0.5652	A	C	r	b	2000	1	6	1
3	22-May-16	14	Red	k	1	0.6997	B	C	b	r	2000	1	6	1
3	22-May-16	15	Red	s	1	0.5477	D	B	b	r	2000	1	6	1
3	22-May-16	16	Red	l	1	0.5803	D	C	r	b	2000	1	6	1
3	22-May-16	17	Red	k	0	0.5571	B	C	r	b	2000	1	6	1
3	22-May-16	18	Red	s	1	0.613	A	B	b	r	2000	1	6	1
3	22-May-16	19	Red	k	1	0.708	B	C	b	r	2000	1	6	1
3	22-May-16	20	Red	k	1	0.5562	A	C	b	r	2000	1	6	1
3	22-May-16	21	Red	a	1	0.6852	A	B	r	b	2000	1	6	1
3	22-May-16	22	Red	a	1	0.7161	B	A	b	r	2000	1	6	1
3	22-May-16	23	Red	a	1	0.5499	A	B	r	b	2000	1	6	1
3	22-May-16	24	Red	a	1	0.5728	D	A	b	r	2000	1	6	1
3	22-May-16	25	Red	k	0	0.5411	D	A	r	b	2000	1	6	1
3	22-May-16	26	Red	k	1	0.6288	C	D	r	b	2000	1	6	1
3	22-May-16	27	Red	k	1	0.75	D	C	b	r	2000	1	6	1
3	22-May-16	28	Red	s	1	0.789	B	D	r	b	2000	1	6	1
3	22-May-16	29	Red	a	1	0.7407	A	B	r	b	2000	1	6	1
3	22-May-16	30	Red	k	1	0.6772	C	D	r	b	2000	1	6	1
3	22-May-16	31	Red	s	1	0.6461	B	C	r	b	2000	1	6	1
3	22-May-16	32	Red	l	1	0.4854	C	D	b	r	2000	1	6	1
3	22-May-16	1	blue	l	1	0.5632	A	D	r	b	900	1	6	1
3	22-May-16	2	blue	a	1	0.5936	A	B	b	r	900	1	6	1
3	22-May-16	3	blue	l	1	0.5533	D	B	b	r	900	1	6	1
3	22-May-16	4	blue	k	1	0.5916	C	B	b	r	900	1	6	1
3	22-May-16	5	blue	a	1	0.5348	A	C	b	r	900	1	6	1
3	22-May-16	6	blue	k	1	0.5185	C	D	b	r	900	1	6	1
3	22-May-16	7	blue	l	1	0.4942	B	D	r	b	900	1	6	1
3	22-May-16	8	blue	l	1	0.5255	D	C	b	r	900	1	6	1
3	22-May-16	9	blue	a	1	0.4931	A	D	b	r	900	1	6	1
3	22-May-16	10	blue	k	0	0.4991	A	B	r	b	900	1	6	1
3	22-May-16	11	blue	s	1	0.6593	B	C	b	r	900	1	6	1
3	22-May-16	12	blue	k	1	0.5309	C	D	b	r	900	1	6	1
3	22-May-16	13	blue	s	1	0.5692	B	D	b	r	900	1	6	1
3	22-May-16	14	blue	k	1	0.5918	A	C	r	b	900	1	6	1
3	22-May-16	15	blue	s	1	0.6868	D	B	r	b	900	1	6	1
3	22-May-16	16	blue	k	1	0.7341	B	C	r	b	900	1	6	1
3	22-May-16	17	blue	a	1	0.5725	A	B	b	r	900	1	6	1
3	22-May-16	18	blue	k	1	0.8453	D	C	r	b	900	1	6	1
3	22-May-16	19	blue	l	1	0.5571	B	D	r	b	900	1	6	1
3	22-May-16	20	blue	l	1	0.4926	C	D	r	b	900	1	6	1
3	22-May-16	21	blue	k	1	0.6515	A	C	r	b	900	1	6	1
3	22-May-16	22	blue	a	1	0.723	A	C	b	r	900	1	6	1
3	22-May-16	23	blue	a	1	0.6899	A	B	b	r	900	1	6	1
3	22-May-16	24	blue	k	0	0.6239	D	B	r	b	900	1	6	1
3	22-May-16	25	blue	a	1	0.5665	A	C	b	r	900	1	6	1
3	22-May-16	26	blue	s	1	0.5766	C	B	r	b	900	1	6	1
3	22-May-16	27	blue	l	1	0.5421	D	B	b	r	900	1	6	1
3	22-May-16	28	blue	s	0	0.5178	D	C	r	b	900	1	6	1
3	22-May-16	29	blue	s	1	0.5503	B	D	b	r	900	1	6	1
3	22-May-16	30	blue	a	1	0.5871	A	D	b	r	900	1	6	1
3	22-May-16	31	blue	s	1	0.6524	C	B	r	b	900	1	6	1
3	22-May-16	32	blue	k	0	0.5784	D	C	b	r	900	1	6	1
3	22-May-16	1	Red	s	1	0.6799	B	C	r	b	900	1	6	1
3	22-May-16	2	Red	l	1	0.6215	C	D	b	r	900	1	6	1
3	22-May-16	3	Red	a	1	0.556	C	A	b	r	900	1	6	1
3	22-May-16	4	Red	l	1	0.5484	D	A	r	b	900	1	6	1
3	22-May-16	5	Red	a	1	0.7544	A	B	r	b	900	1	6	1
3	22-May-16	6	Red	k	1	0.6669	C	B	r	b	900	1	6	1
3	22-May-16	7	Red	a	1	0.6337	B	A	b	r	900	1	6	1
3	22-May-16	8	Red	k	1	0.5837	C	D	r	b	900	1	6	1
3	22-May-16	9	Red	a	1	0.496	D	A	b	r	900	1	6	1
3	22-May-16	10	Red	l	1	0.5424	D	B	r	b	900	1	6	1
3	22-May-16	11	Red	s	1	0.6212	B	C	r	b	900	1	6	1
3	22-May-16	12	Red	a	1	0.5739	A	D	r	b	900	1	6	1
3	22-May-16	13	Red	l	1	0.5166	D	A	r	b	900	1	6	1
3	22-May-16	14	Red	s	0	0.5459	C	B	r	b	900	1	6	1
3	22-May-16	15	Red	s	1	0.5624	B	C	r	b	900	1	6	1
3	22-May-16	16	Red	a	1	0.6962	C	A	b	r	900	1	6	1
3	22-May-16	17	Red	a	1	0.5993	C	A	b	r	900	1	6	1
3	22-May-16	18	Red	s	1	0.6376	A	B	b	r	900	1	6	1
3	22-May-16	19	Red	k	1	0.6128	C	A	r	b	900	1	6	1
3	22-May-16	20	Red	k	1	0.8444	A	C	b	r	900	1	6	1
3	22-May-16	21	Red	k	1	0.8279	A	C	b	r	900	1	6	1
3	22-May-16	22	Red	s	1	0.5781	B	C	r	b	900	1	6	1
3	22-May-16	23	Red	k	0	0.4712	B	D	b	r	900	1	6	1
3	22-May-16	24	Red	l	1	0.5981	C	D	b	r	900	1	6	1
3	22-May-16	25	Red	k	1	0.5269	A	C	b	r	900	1	6	1
3	22-May-16	26	Red	s	1	0.5098	C	B	b	r	900	1	6	1
3	22-May-16	27	Red	a	1	0.4042	A	C	r	b	900	1	6	1
3	22-May-16	28	Red	k	0	0.5413	D	B	b	r	900	1	6	1
3	22-May-16	29	Red	l	1	0.5716	C	D	b	r	900	1	6	1
3	22-May-16	30	Red	l	1	0.5149	D	A	r	b	900	1	6	1
3	22-May-16	31	Red	s	0	0.5052	D	C	b	r	900	1	6	1
3	22-May-16	32	Red	k	0	0.5618	B	A	r	b	900	1	6	1
3	22-May-16	1	blue	l	1	0.6534	D	A	b	r	900	1	6	1
3	22-May-16	2	blue	k	1	0.5966	B	C	r	b	900	1	6	1
3	22-May-16	3	blue	s	1	0.5401	A	B	r	b	900	1	6	1
3	22-May-16	4	blue	a	1	0.5389	B	A	r	b	900	1	6	1
3	22-May-16	5	blue	k	1	0.5307	C	A	b	r	900	1	6	1
3	22-May-16	6	blue	s	1	0.5459	B	D	b	r	900	1	6	1
3	22-May-16	7	blue	k	0	0.4749	C	B	r	b	900	1	6	1
3	22-May-16	8	blue	l	1	0.496	B	D	r	b	900	1	6	1
3	22-May-16	9	blue	l	1	0.5108	B	D	r	b	900	1	6	1
3	22-May-16	10	blue	s	0	0.6619	C	A	b	r	900	1	6	1
3	22-May-16	11	blue	k	0	0.5987	D	C	b	r	900	1	6	1
3	22-May-16	12	blue	s	1	0.5415	B	C	b	r	900	1	6	1
3	22-May-16	13	blue	a	1	0.491	A	C	b	r	900	1	6	1
3	22-May-16	14	blue	a	1	0.5707	D	A	r	b	900	1	6	1
3	22-May-16	15	blue	s	1	0.5308	B	C	b	r	900	1	6	1
3	22-May-16	16	blue	a	1	0.561	A	D	b	r	900	1	6	1
3	22-May-16	17	blue	k	1	0.6004	C	B	b	r	900	1	6	1
3	22-May-16	18	blue	s	1	0.5684	A	B	r	b	900	1	6	1
3	22-May-16	19	blue	a	1	0.4716	A	B	b	r	900	1	6	1
3	22-May-16	20	blue	a	1	0.5431	C	A	r	b	900	1	6	1
3	22-May-16	21	blue	l	1	0.5103	C	D	r	b	900	1	6	1
3	22-May-16	22	blue	s	0	0.5238	C	B	b	r	900	1	6	1
3	22-May-16	23	blue	k	1	0.524	C	A	b	r	900	1	6	1
3	22-May-16	24	blue	s	1	0.6022	B	C	b	r	900	1	6	1
3	22-May-16	25	blue	k	1	0.6497	A	C	r	b	900	1	6	1
3	22-May-16	26	blue	l	1	0.6102	D	A	b	r	900	1	6	1
3	22-May-16	27	blue	a	1	0.5925	A	C	b	r	900	1	6	1
3	22-May-16	28	blue	l	1	0.583	B	D	r	b	900	1	6	1
3	22-May-16	29	blue	a	1	0.63	C	A	r	b	900	1	6	1
3	22-May-16	30	blue	k	0	0.6793	D	B	b	r	900	1	6	1
3	22-May-16	31	blue	k	1	0.6607	B	C	r	b	900	1	6	1
3	22-May-16	32	blue	NaN	NaN	0	B	A	b	r	900	1	6	1
3	22-May-16	1	Red	l	1	0.5425	D	C	r	b	900	1	6	1
3	22-May-16	2	Red	l	1	0.5239	C	D	b	r	900	1	6	1
3	22-May-16	3	Red	l	1	0.5225	B	D	b	r	900	1	6	1
3	22-May-16	4	Red	k	0	0.5305	B	A	r	b	900	1	6	1
3	22-May-16	5	Red	k	1	0.5371	C	D	r	b	900	1	6	1
3	22-May-16	6	Red	a	1	0.6579	D	A	b	r	900	1	6	1
3	22-May-16	7	Red	s	1	0.5766	B	A	r	b	900	1	6	1
3	22-May-16	8	Red	s	1	0.5521	B	D	r	b	900	1	6	1
3	22-May-16	9	Red	l	1	0.5906	D	C	r	b	900	1	6	1
3	22-May-16	10	Red	a	1	0.7339	B	A	b	r	900	1	6	1
3	22-May-16	11	Red	a	1	0.6542	C	A	b	r	900	1	6	1
3	22-May-16	12	Red	a	1	0.605	C	A	b	r	900	1	6	1
3	22-May-16	13	Red	s	1	0.5383	C	B	b	r	900	1	6	1
3	22-May-16	14	Red	s	1	0.6576	B	A	r	b	900	1	6	1
3	22-May-16	15	Red	k	1	0.5853	C	D	r	b	900	1	6	1
3	22-May-16	16	Red	a	1	0.6236	C	A	b	r	900	1	6	1
3	22-May-16	17	Red	k	1	0.8635	C	D	r	b	900	1	6	1
3	22-May-16	18	Red	k	1	0.5832	C	A	r	b	900	1	6	1
3	22-May-16	19	Red	a	1	0.5177	A	B	r	b	900	1	6	1
3	22-May-16	20	Red	l	1	0.7568	D	B	r	b	900	1	6	1
3	22-May-16	21	Red	l	1	0.5866	D	A	r	b	900	1	6	1
